feature,importance
home_epa_per_play,0.16160066354163596
away_epa_allowed_per_play,0.15702674914958803
home_epa_allowed_per_play,0.15177193232793787
away_epa_per_play,0.1480002526294251
away_yards_per_play,0.05030263310072139
home_yards_per_play,0.05014029942805579
home_success_rate_allowed,0.041166455591100444
away_success_rate,0.03523738872897573
home_success_rate,0.028843064747686782
away_success_rate_allowed,0.027282842296127315
points_scored_rolling_differential,0.017683983515505246
total,0.017303373608871832
point_diff_rolling_differential,0.016723702285187974
home_point_diff_rolling,0.011097449515346835
home_points_scored_rolling,0.011061952130119854
away_points_scored_rolling,0.009112003628046587
points_allowed_rolling_differential,0.008279477253340922
home_points_allowed_rolling,0.008159987526254419
away_point_diff_rolling,0.008147518849090119
ftn,0.00804655028845056
